# Arandkei 500 Index, -, Official Constituent Dataset,,
# Copyright (c), 2026 Arandkei., All rights reserved.,,
# Author:, Arandkei, (Gerardo LunaRodas),,
# Methodology:, https://github.com/lunarodas/arandkei-500/blob/main/METHODOLOGY.md,,,
# License:, MIT License,,,
# Output Weight Scheme:, Equal Weight,,, 0.20%
Ticker,Name,Exchange,Sector,Weight
RARE,Ultragenyx Pharmaceutical Inc.,NASDAQ,Healthcare,0.20%
RBLX,Roblox Corporation,NYSE,Communication Services,0.20%
RBRK,"Rubrik, Inc.",NYSE,Technology,0.20%
RCAT,"Red Cat Holdings, Inc.",NASDAQ,Industrials,0.20%
RCI,Rogers Communications Inc.,NYSE,Communication Services,0.20%
RDW,Redwire Corporation,NYSE,Industrials,0.20%
REAL,"The RealReal, Inc.",NASDAQ,Consumer Discretionary,0.20%
RGTI,"Rigetti Computing, Inc.",NASDAQ,Technology,0.20%
RIG,Transocean Ltd.,NYSE,Energy,0.20%
RIOT,"Riot Platforms, Inc.",NASDAQ,Financials,0.20%
RIVN,"Rivian Automotive, Inc.",NASDAQ,Consumer Discretionary,0.20%
RKLB,Rocket Lab Corporation,NASDAQ,Industrials,0.20%
RKT,"Rocket Companies, Inc.",NYSE,Financials,0.20%
RLAY,"Relay Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
RPRX,Royalty Pharma plc,NASDAQ,Healthcare,0.20%
RVMD,"Revolution Medicines, Inc.",NASDAQ,Healthcare,0.20%
RXRX,"Recursion Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
RY,Royal Bank of Canada,NYSE,Financials,0.20%
RYTM,"Rhythm Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
S,"SentinelOne, Inc.",NYSE,Technology,0.20%
SA,Seabridge Gold Inc.,NYSE,Materials,0.20%
SAIL,"SailPoint, Inc.",NASDAQ,Technology,0.20%
SBET,"Sharplink, Inc.",NASDAQ,Consumer Discretionary,0.20%
